rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.005291449719096716,20.0,0.10582899438193433,826.1831173674017,False,-1,no_crossing_in_scanned_range,China,domestic_active,1915.8899442566378,92.01793721973095
h_D,0.1453938512257101,0.001,0.0001453938512257101,265.94137720797136,False,1,no_crossing_in_scanned_range,China,domestic_active,1915.8899442566378,92.01793721973095
p_D,0.055527274862340256,0.001,5.552727486234026e-05,973.2690814885508,False,1,no_crossing_in_scanned_range,China,domestic_active,1915.8899442566378,92.01793721973095
d,0.0017638165730322387,10.793584405601466,0.01903790305702219,92.01793721973095,True,-1,crossing_found,China,domestic_active,1915.8899442566378,92.01793721973095
r,0.0009540761370772088,0.001,9.540761370772088e-07,958.4241842872418,False,1,no_crossing_in_scanned_range,China,domestic_active,1915.8899442566378,92.01793721973095
I0,1.750394740296783,0.048028822060253454,0.08406939751691775,92.01793721973095,True,1,crossing_found,China,domestic_active,1915.8899442566378,92.01793721973095
alpha,0.005291449719096716,20.0,0.10582899438193433,791.1498027562521,False,-1,no_crossing_in_scanned_range,China,domestic_PIs,1915.8899442566378,92.01793721973095
h_D,0.1453938512257101,0.005085738512576105,0.0007394351086703544,92.01793721973095,True,1,crossing_found,China,domestic_PIs,1915.8899442566378,92.01793721973095
p_D,0.055527274862340256,0.003493472162412619,0.00019398298898621967,92.01793721973095,True,1,crossing_found,China,domestic_PIs,1915.8899442566378,92.01793721973095
d,0.0017638165730322387,7.974792708543869,0.014066071545826331,92.01793721973095,True,-1,crossing_found,China,domestic_PIs,1915.8899442566378,92.01793721973095
r,0.0009540761370772088,0.001,9.540761370772088e-07,917.7833441717232,False,1,no_crossing_in_scanned_range,China,domestic_PIs,1915.8899442566378,92.01793721973095
I0,1.750394740296783,0.05015561123188417,0.0877921180966603,92.01793721973095,True,1,crossing_found,China,domestic_PIs,1915.8899442566378,92.01793721973095
alpha,0.04372737741124852,20.0,0.8745475482249704,235.3585068302997,False,-1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
beta,0.02876820724517809,0.001,2.876820724517809e-05,223.67338841205765,False,1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
h_D,0.2997369090997963,0.001,0.0002997369090997963,203.8326091559028,False,1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
h_A,0.17328679513998632,0.001,0.00017328679513998633,277.562066177108,False,1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
p_D,0.06744006077856532,0.001,6.744006077856532e-05,143.5645317447107,False,1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
p_A,0.019178804830118728,0.001,1.9178804830118727e-05,278.9275589636316,False,1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
d,0.0044468170929742425,5.397447065742715,0.024001459870368374,26.666666666666664,True,-1,crossing_found,Germany,domestic_active,279.5704552184952,26.666666666666664
r,0.0024380146169278305,0.001,2.4380146169278304e-06,139.8551551937524,False,1,no_crossing_in_scanned_range,Germany,domestic_active,279.5704552184952,26.666666666666664
I0,0.6324307358278448,0.09538442338560284,0.060324041068271494,26.666666666666664,True,1,crossing_found,Germany,domestic_active,279.5704552184952,26.666666666666664
alpha,0.04372737741124852,20.0,0.8745475482249704,223.35923971086467,False,-1,no_crossing_in_scanned_range,Germany,domestic_PIs,279.5704552184952,26.666666666666664
beta,0.02876820724517809,0.001,2.876820724517809e-05,206.7825559564358,False,1,no_crossing_in_scanned_range,Germany,domestic_PIs,279.5704552184952,26.666666666666664
h_D,0.2997369090997963,0.001,0.0002997369090997963,171.96045755477715,False,1,no_crossing_in_scanned_range,Germany,domestic_PIs,279.5704552184952,26.666666666666664
h_A,0.17328679513998632,0.001,0.00017328679513998633,256.59236045071424,False,1,no_crossing_in_scanned_range,Germany,domestic_PIs,279.5704552184952,26.666666666666664
p_D,0.06744006077856532,0.011224179659890884,0.0007569593584525778,26.666666666666664,True,1,crossing_found,Germany,domestic_PIs,279.5704552184952,26.666666666666664
p_A,0.019178804830118728,0.001,1.9178804830118727e-05,258.2109532438492,False,1,no_crossing_in_scanned_range,Germany,domestic_PIs,279.5704552184952,26.666666666666664
