group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
China,1.750394740296783,0.0009540761370772088,0.0,0.11764705882352941,0.0019081522741544177,4.6008968609865475,20,20,92.01793721973095,1915.8899442566378,22.963658546201493,68.89097563860449,58.27738083905677,-0.0,1834.6489048713795,-0.0,1823.8720070369068,1834.6489048713795
Germany,0.6324307358278448,0.0024380146169278305,0.0,0.10784313725490197,0.004876029233855661,5.333333333333333,5,5,26.666666666666664,279.5704552184952,3.7003799595778686,0.7835665151348066,16.466078509201562,2.591559585206756,259.4039967497158,1.4964015977917746,252.90378855182857,259.4039967497158
India,1.5173124865669063,0.0010999343762705394,0.0,0.13903743315508021,0.0021998687525410787,3.1064814814814814,20,20,62.129629629629626,1461.2273877305636,13.582144789656883,40.74643436897065,68.18795959501935,-0.0,1379.4572833458874,-0.0,1399.097758100934,1379.4572833458874
Israel,1.295215106303297,0.006414007796365695,0.0,0.15032679738562094,0.01282801559273139,3.7853658536585364,14,14,52.99512195121951,266.3475240115164,9.332532394607743,0.504891744554665,55.0796108985603,0.3596432840103864,201.9353807183483,0.22033553653311394,213.35240206029687,201.9353807183483
Japan,1.2906667134610978,0.012109799242125519,0.0,0.1411764705882353,0.024219598484251037,4.20627802690583,12,12,50.47533632286996,168.86083440696314,18.365746850678715,8.236461133968584,43.91473163050411,-0.0,106.58035592578032,-0.0,118.38549808409317,106.58035592578032
United Kingdom of Great Britain and Northern Ireland,0.871325326724111,0.0018379357420599263,0.0,0.14705882352941177,0.0036758714841198525,5.57396449704142,15,15,83.6094674556213,513.11627717679,9.03637024801794,1.0400700291509895,30.00167522084736,2.0132229467094023,474.0782317079248,1.2392122824191671,429.50680972116874,474.0782317079248
United States of America,2.085782803153212,0.004534389254104099,0.0,0.1088235294117647,0.009068778508208197,4.7319034852546915,28,28,132.49329758713137,540.161161091815,12.543413636471103,7.124313564724161,67.62574277224361,-0.0,459.9920046831003,-0.0,407.6678635046836,459.9920046831003
