rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0039699424434524,406.9088805760099,-1.0437127269638289,Anglosphere ex-US,domestic_active,119.77848101265822,1.0437127269638289
beta,0.0559615787935422,411.3476021997028,0.0357412566833636,Anglosphere ex-US,domestic_active,119.77848101265822,0.0357412566833636
alpha,0.1950118754417091,411.1207759906536,-0.0194206740957275,Anglosphere ex-US,domestic_active,119.77848101265822,0.0194206740957275
d,0.004632311607725,626.1327213598505,-1.0339175171222983,Continental Europe,domestic_active,129.0692124105012,1.0339175171222983
beta,0.0538996500732687,632.848777453071,0.0276174236451486,Continental Europe,domestic_active,129.0692124105012,0.0276174236451486
alpha,0.1026976899039694,632.5376718511252,-0.0215557014970451,Continental Europe,domestic_active,129.0692124105012,0.0215557014970451
d,0.0020204246761597,773.4578156866376,-0.9953413425355851,Hindu,domestic_active,66.04072398190046,0.9953413425355851
beta,0.1791759469228055,781.2479106140569,0.001811538405584,Hindu,domestic_active,66.04072398190046,0.001811538405584
alpha,0.032785049041009,781.2198145996966,-0.0017848261988667,Hindu,domestic_active,66.04072398190046,0.0017848261988667
d,0.0025844453130496,464.3522970781003,-1.0036072662442228,Islamic,domestic_active,126.52032520325204,1.0036072662442228
beta,0.1504077396776274,469.0960909725553,0.0077336625688707,Islamic,domestic_active,126.52032520325204,0.0077336625688707
alpha,0.0753308539571762,469.0298629389902,-0.0063856525762245,Islamic,domestic_active,126.52032520325204,0.0063856525762245
d,0.0133978920453826,127.90394220451287,-1.1142266000583771,Japanese,domestic_active,50.47533632286996,1.1142266000583771
h_D,0.1094335921692375,129.37873784200028,0.0259752162907693,Japanese,domestic_active,50.47533632286996,0.0259752162907693
beta,0.1098612288668109,129.37337810548476,0.0218314684013632,Japanese,domestic_active,50.47533632286996,0.0218314684013632
d,0.0052950099891291,231.9296083770645,-1.02835327023385,Other Civilizations,domestic_active,104.59615384615384,1.02835327023385
beta,0.0980829253011726,234.38315683788343,0.0186529020170862,Other Civilizations,domestic_active,104.59615384615384,0.0186529020170862
alpha,0.0638320420426842,234.30429653217527,-0.0149992667256836,Other Civilizations,domestic_active,104.59615384615384,0.0149992667256836
d,0.0033680345453574,267.6020387303471,-1.0047916845476723,Other Western,domestic_active,57.16981132075472,1.0047916845476723
beta,0.16094379124341,270.3404576436608,0.0082437619110583,Other Western,domestic_active,57.16981132075472,0.0082437619110583
alpha,0.1256286337293967,270.30015068738544,-0.006667169081737,Other Western,domestic_active,57.16981132075472,0.006667169081737
d,0.0026460027216252,931.3683972295448,-1.005064896851763,Sinic,domestic_active,112.34408602150538,1.005064896851763
beta,0.1098612288668109,940.907929288395,0.0088897959308221,Sinic,domestic_active,112.34408602150538,0.0088897959308221
alpha,0.08385059627868,940.75646114922,-0.0072097181308812,Sinic,domestic_active,112.34408602150538,0.0072097181308812
d,0.0068112401162406,457.1410195662289,-1.0572395708777895,United States,domestic_active,132.49329758713137,1.0572395708777895
beta,0.0356674943938732,462.1679941375682,0.0307895479426287,United States,domestic_active,132.49329758713137,0.0307895479426287
alpha,0.0757893595191578,461.8880080905368,-0.0298101164699219,United States,domestic_active,132.49329758713137,0.0298101164699219
