rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0039699424434524,351.7284878295507,-1.1755369197912178,Anglosphere ex-US,domestic_PIs,119.77848101265822,1.1755369197912178
I0,1.5603713544111737,359.2233899615302,0.930291026083102,Anglosphere ex-US,domestic_PIs,119.77848101265822,0.930291026083102
r,0.0023883376891262,356.20888756152993,0.0833122016712654,Anglosphere ex-US,domestic_PIs,119.77848101265822,0.0833122016712654
d,0.004632311607725,572.212788243739,-1.1205218976773963,Continental Europe,domestic_PIs,129.0692124105012,1.1205218976773963
I0,2.77344948925106,584.0778798990948,0.9297889213427089,Continental Europe,domestic_PIs,129.0692124105012,0.9297889213427089
r,0.0026128655224511,579.1836408882897,0.0840549408391161,Continental Europe,domestic_PIs,129.0692124105012,0.0840549408391161
d,0.0020204246761597,735.5771065731884,-1.0437569847634445,Hindu,domestic_PIs,66.04072398190046,1.0437569847634445
I0,1.5178876194691953,750.4931535844331,0.962879654252945,Hindu,domestic_PIs,66.04072398190046,0.962879654252945
r,0.0010637672526172,743.6355699271122,0.0403377360405374,Hindu,domestic_PIs,66.04072398190046,0.0403377360405374
d,0.0025844453130496,429.13859384933113,-1.0790094421645977,Islamic,domestic_PIs,126.52032520325204,1.0790094421645977
I0,1.1658954861126645,437.9720697660603,0.9572003051657196,Islamic,domestic_PIs,126.52032520325204,0.9572003051657196
r,0.0014100136163506,434.0243149288201,0.0472010075579118,Islamic,domestic_PIs,126.52032520325204,0.0472010075579118
d,0.0133978920453826,88.20172849280229,-1.4419641917893462,Japanese,domestic_PIs,50.47533632286996,1.4419641917893462
I0,1.4384263987258503,90.27303768721318,0.8725501521022632,Japanese,domestic_PIs,50.47533632286996,0.8725501521022632
r,0.0099256762887307,89.6759244626499,0.2053261920540688,Japanese,domestic_PIs,50.47533632286996,0.2053261920540688
d,0.0052950099891291,202.1512213445776,-1.1580585802983403,Other Civilizations,domestic_PIs,104.59615384615384,1.1580585802983403
I0,1.1532296706553111,206.4109795512979,0.9247523388256748,Other Civilizations,domestic_PIs,104.59615384615384,0.9247523388256748
r,0.0030987890106644,204.70717844975093,0.0916779326964554,Other Civilizations,domestic_PIs,104.59615384615384,0.0916779326964554
d,0.0033680345453574,226.9905583164759,-1.1542143944991583,Other Western,domestic_PIs,57.16981132075472,1.1542143944991583
I0,0.8740144451279236,231.83527654902923,0.955476789511946,Other Western,domestic_PIs,57.16981132075472,0.955476789511946
r,0.0020012390516512,229.7543880297404,0.0493287013619493,Other Western,domestic_PIs,57.16981132075472,0.0493287013619493
d,0.0026460027216252,886.0480441983747,-1.0533642187584504,Sinic,domestic_PIs,112.34408602150538,1.0533642187584504
I0,2.388363239638916,904.0285125694666,0.9545481814095969,Sinic,domestic_PIs,112.34408602150538,0.9545481814095969
r,0.0014040879746062,895.9327933864212,0.0504841381141532,Sinic,domestic_PIs,112.34408602150538,0.0504841381141532
d,0.0068112401162406,407.4862100892021,-1.167335338534114,United States,domestic_PIs,132.49329758713137,1.167335338534114
I0,2.8488632583113103,416.0182416367457,0.9020436783283908,United States,domestic_PIs,132.49329758713137,0.9020436783283908
r,0.0039562805261539,412.83919080052726,0.1309892046838723,United States,domestic_PIs,132.49329758713137,0.1309892046838723
