rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
I0,1.5603713544111737,415.02599652225496,0.9302910260831034,Anglosphere ex-US,domestic_active,119.77848101265822
r,0.002388337689126274,411.54321422705743,0.08331220167125429,Anglosphere ex-US,domestic_active,119.77848101265822
beta,0.0559615787935422,411.3476021997028,0.035741256683363636,Anglosphere ex-US,domestic_active,119.77848101265822
h_D,0.150496600540742,411.2791516967601,0.019094759257222246,Anglosphere ex-US,domestic_active,119.77848101265822
h_A,0.3805653047154277,411.2121665616713,0.0028046250594030877,Anglosphere ex-US,domestic_active,119.77848101265822
p_D,0.0191788048301187,411.2071330418943,0.0015805219423943135,Anglosphere ex-US,domestic_active,119.77848101265822
p_A,0.0732408192445406,411.2020190416867,0.0003368467664195819,Anglosphere ex-US,domestic_active,119.77848101265822
alpha,0.1950118754417091,411.12077599065356,-0.019420674095727522,Anglosphere ex-US,domestic_active,119.77848101265822
epsilon,0.014285714285714285,410.91682823985633,-0.0690187860563486,Anglosphere ex-US,domestic_active,119.77848101265822
d,0.0039699424434524,406.9088805760099,-1.0437127269638287,Anglosphere ex-US,domestic_active,119.77848101265822
I0,1.5603713544111737,359.2233899615302,0.9302910260831019,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_D,0.0191788048301187,356.32927973333125,0.11713855395436717,Anglosphere ex-US,domestic_PIs,119.77848101265822
r,0.002388337689126274,356.20888756152993,0.0833122016712654,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_A,0.0732408192445406,356.0011542962716,0.0249457937361651,Anglosphere ex-US,domestic_PIs,119.77848101265822
alpha,0.1950118754417091,355.9614679465689,0.013795197930915227,Anglosphere ex-US,domestic_PIs,119.77848101265822
beta,0.0559615787935422,355.9503885488598,0.010682241296060687,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_A,0.3805653047154277,355.93837075718324,0.007305625949450066,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_D,0.150496600540742,355.9071479739501,-0.0014669781916760072,Anglosphere ex-US,domestic_PIs,119.77848101265822
epsilon,0.014285714285714285,355.6667227341883,-0.0690187860563407,Anglosphere ex-US,domestic_PIs,119.77848101265822
d,0.0039699424434524,351.7284878295507,-1.1755369197912178,Anglosphere ex-US,domestic_PIs,119.77848101265822
I0,2.77344948925106,638.5565823981075,0.9297889213427015,Continental Europe,domestic_active,129.0692124105012
r,0.002612865522451102,633.2058429783591,0.0840549408391248,Continental Europe,domestic_active,129.0692124105012
beta,0.0538996500732687,632.848777453071,0.027617423645148666,Continental Europe,domestic_active,129.0692124105012
h_D,0.1732867951399863,632.8079909718936,0.02117074209874587,Continental Europe,domestic_active,129.0692124105012
h_A,0.2599301927099794,632.6852089717878,0.0017639084748957128,Continental Europe,domestic_active,129.0692124105012
p_D,0.0525638240242846,632.6799394883827,0.0009310177609653436,Continental Europe,domestic_active,129.0692124105012
p_A,0.0595878584014731,632.6746365336596,9.283659485394832e-05,Continental Europe,domestic_active,129.0692124105012
alpha,0.1026976899039694,632.5376718511252,-0.02155570149704517,Continental Europe,domestic_active,129.0692124105012
epsilon,0.008695652173913044,632.2342399981262,-0.06951591946267244,Continental Europe,domestic_active,129.0692124105012
d,0.004632311607725,626.1327213598505,-1.0339175171222983,Continental Europe,domestic_active,129.0692124105012
I0,2.77344948925106,584.0778798990948,0.9297889213427089,Continental Europe,domestic_PIs,129.0692124105012
r,0.002612865522451102,579.1836408882897,0.08405494083911617,Continental Europe,domestic_PIs,129.0692124105012
p_D,0.0525638240242846,579.089527050226,0.06779188733675796,Continental Europe,domestic_PIs,129.0692124105012
h_D,0.1732867951399863,578.8381991506642,0.024361939506509427,Continental Europe,domestic_PIs,129.0692124105012
beta,0.0538996500732687,578.8136768152918,0.02012443245793302,Continental Europe,domestic_PIs,129.0692124105012
p_A,0.0595878584014731,578.7363166127404,0.006756439621473612,Continental Europe,domestic_PIs,129.0692124105012
h_A,0.2599301927099794,578.7231848054425,0.004487237885976747,Continental Europe,domestic_PIs,129.0692124105012
alpha,0.1026976899039694,578.6586880486884,-0.006657926602069885,Continental Europe,domestic_PIs,129.0692124105012
epsilon,0.008695652173913044,578.2949305931631,-0.06951591946266805,Continental Europe,domestic_PIs,129.0692124105012
d,0.004632311607725,572.212788243739,-1.1205218976773963,Continental Europe,domestic_PIs,129.0692124105012
I0,1.5178876194691953,788.756099174973,0.9628796542529513,Hindu,domestic_active,66.04072398190046
r,0.0010637672526172537,781.5488902757569,0.04033773604054524,Hindu,domestic_active,66.04072398190046
beta,0.1791759469228055,781.2479106140569,0.0018115384055840229,Hindu,domestic_active,66.04072398190046
h_D,0.1732867951399863,781.2476943293163,0.0017838533832403817,Hindu,domestic_active,66.04072398190046
p_D,0.049814293455348,781.234717080156,0.0001227309569385978,Hindu,domestic_active,66.04072398190046
h_A,0.1373265360835137,781.2344114572396,8.361041035129363e-05,Hindu,domestic_active,66.04072398190046
p_A,0.0610860487916103,781.2337726815023,1.845416124443056e-06,Hindu,domestic_active,66.04072398190046
alpha,0.032785049041009,781.2198145996966,-0.0017848261988667048,Hindu,domestic_active,66.04072398190046
epsilon,0.015384615384615385,780.9466328465078,-0.03675281757134969,Hindu,domestic_active,66.04072398190046
d,0.0020204246761597,773.4578156866376,-0.9953413425355853,Hindu,domestic_active,66.04072398190046
I0,1.5178876194691953,750.4931535844331,0.962879654252945,Hindu,domestic_PIs,66.04072398190046
r,0.0010637672526172537,743.6355699271122,0.04033773604053744,Hindu,domestic_PIs,66.04072398190046
p_D,0.049814293455348,743.6180034861468,0.037974545308316905,Hindu,domestic_PIs,66.04072398190046
h_D,0.1732867951399863,743.4165433753292,0.010872375453116274,Hindu,domestic_PIs,66.04072398190046
h_A,0.1373265360835137,743.3426699492187,0.0009342783573367935,Hindu,domestic_PIs,66.04072398190046
p_A,0.0610860487916103,743.339968079403,0.0005707992826197424,Hindu,domestic_PIs,66.04072398190046
beta,0.1791759469228055,743.3389229449956,0.0004301986936729027,Hindu,domestic_PIs,66.04072398190046
alpha,0.032785049041009,743.3336177027262,-0.0002835087322029232,Hindu,domestic_PIs,66.04072398190046
epsilon,0.015384615384615385,743.0625283014189,-0.03675281757134985,Hindu,domestic_PIs,66.04072398190046
d,0.0020204246761597,735.5771065731884,-1.0437569847634445,Hindu,domestic_PIs,66.04072398190046
I0,1.1658954861126645,473.54965745426153,0.9572003051657224,Islamic,domestic_active,126.52032520325203
r,0.001410013616350625,469.28121642813153,0.04720100755791855,Islamic,domestic_active,126.52032520325203
beta,0.1504077396776274,469.0960909725553,0.007733662568870765,Islamic,domestic_active,126.52032520325203
h_D,0.095267506505862,469.08924716887833,0.006274615459891571,Islamic,domestic_active,126.52032520325203
h_A,0.1880096745970342,469.06551727721114,0.001215582286595428,Islamic,domestic_active,126.52032520325203
p_D,0.0391857776601412,469.06099607693375,0.000251696631015927,Islamic,domestic_active,126.52032520325203
p_A,0.0462098120373296,469.0598883124435,1.552963189897682e-05,Islamic,domestic_active,126.52032520325203
alpha,0.0753308539571762,469.0298629389902,-0.006385652576224557,Islamic,domestic_active,126.52032520325203
epsilon,0.022222222222222223,468.8610469844174,-0.04237593547947772,Islamic,domestic_active,126.52032520325203
d,0.0025844453130496,464.3522970781003,-1.0036072662442228,Islamic,domestic_active,126.52032520325203
I0,1.1658954861126645,437.9720697660603,0.9572003051657195,Islamic,domestic_PIs,126.52032520325203
p_D,0.0391857776601412,434.06692486202405,0.05702304841034397,Islamic,domestic_PIs,126.52032520325203
r,0.001410013616350625,434.02431492882005,0.04720100755791184,Islamic,domestic_PIs,126.52032520325203
h_D,0.095267506505862,433.8891946574029,0.01605435404177962,Islamic,domestic_PIs,126.52032520325203
h_A,0.1880096745970342,433.84181222220184,0.005132200937135861,Islamic,domestic_PIs,126.52032520325203
p_A,0.0462098120373296,433.8348034554942,0.0035166059865834355,Islamic,domestic_PIs,126.52032520325203
alpha,0.0753308539571762,433.8298606233382,0.0023772308289146276,Islamic,domestic_PIs,126.52032520325203
beta,0.1504077396776274,433.8221563906111,0.0006013235957317575,Islamic,domestic_PIs,126.52032520325203
epsilon,0.022222222222222223,433.63571263966367,-0.04237593547948847,Islamic,domestic_PIs,126.52032520325203
d,0.0025844453130496,429.13859384933113,-1.0790094421645977,Islamic,domestic_PIs,126.52032520325203
I0,1.4384263987258503,130.4737413793027,0.8725501521022655,Japanese,domestic_active,50.47533632286996
r,0.009925676288730756,129.61071961298336,0.2053261920540551,Japanese,domestic_active,50.47533632286996
h_D,0.1094335921692375,129.37873784200028,0.02597521629076933,Japanese,domestic_active,50.47533632286996
beta,0.1098612288668109,129.37337810548476,0.021831468401363262,Japanese,domestic_active,50.47533632286996
p_D,0.0419072439614916,129.36855429102468,0.01810205541063402,Japanese,domestic_active,50.47533632286996
h_A,0.2239699336535069,129.34749417042502,0.0018199434014263421,Japanese,domestic_active,50.47533632286996
p_A,0.0270310072072109,129.34583301430044,0.000535661578002396,Japanese,domestic_active,50.47533632286996
alpha,0.032785049041009,129.3176456967811,-0.02125666667182911,Japanese,domestic_active,50.47533632286996
epsilon,0.01818181818181818,129.18192215772547,-0.126187968215569,Japanese,domestic_active,50.47533632286996
d,0.0133978920453826,127.90394220451287,-1.1142266000583771,Japanese,domestic_active,50.47533632286996
I0,1.4384263987258503,90.27303768721318,0.8725501521022632,Japanese,domestic_PIs,50.47533632286996
p_D,0.0419072439614916,89.7161379182404,0.2502613567474022,Japanese,domestic_PIs,50.47533632286996
r,0.009925676288730756,89.6759244626499,0.20532619205406882,Japanese,domestic_PIs,50.47533632286996
h_D,0.1094335921692375,89.58072958467056,0.09895389807559526,Japanese,domestic_PIs,50.47533632286996
beta,0.1098612288668109,89.50236015561933,0.011382632447495539,Japanese,domestic_PIs,50.47533632286996
h_A,0.2239699336535069,89.5004408204696,0.00923793635540348,Japanese,domestic_PIs,50.47533632286996
p_A,0.0270310072072109,89.49879101054292,0.007394412100153802,Japanese,domestic_PIs,50.47533632286996
alpha,0.032785049041009,89.49195179412123,-0.0002478387775397861,Japanese,domestic_PIs,50.47533632286996
epsilon,0.01818181818181818,89.37924523486454,-0.1261879682155689,Japanese,domestic_PIs,50.47533632286996
d,0.0133978920453826,88.20172849280229,-1.4419641917893462,Japanese,domestic_PIs,50.47533632286996
I0,1.1532296706553111,236.50650523586953,0.9247523388256736,Other Civilizations,domestic_active,104.59615384615385
r,0.0030987890106644045,234.5542832900221,0.09167793269644858,Other Civilizations,domestic_active,104.59615384615385
beta,0.0980829253011726,234.38315683788343,0.018652902017086272,Other Civilizations,domestic_active,104.59615384615385
h_D,0.1033348216480584,234.37407135959683,0.014775843138552873,Other Civilizations,domestic_active,104.59615384615385
h_A,0.2599301927099794,234.34365721470897,0.0017971724785520754,Other Civilizations,domestic_active,104.59615384615385
p_D,0.0462098120373296,234.3430901406088,0.0015551841532862583,Other Civilizations,domestic_active,104.59615384615385
p_A,0.031333575283049,234.33967743626204,9.887604598875258e-05,Other Civilizations,domestic_active,104.59615384615385
alpha,0.0638320420426842,234.30429653217527,-0.014999266725683696,Other Civilizations,domestic_active,104.59615384615385
epsilon,0.022222222222222223,234.1648566691777,-0.07450263482608227,Other Civilizations,domestic_active,104.59615384615385
d,0.0052950099891291,231.92960837706454,-1.02835327023385,Other Civilizations,domestic_active,104.59615384615385
I0,1.1532296706553111,206.4109795512979,0.9247523388256749,Other Civilizations,domestic_PIs,104.59615384615385
p_D,0.0462098120373296,204.71541564020075,0.09570551111269514,Other Civilizations,domestic_PIs,104.59615384615385
r,0.0030987890106644045,204.70717844975093,0.09167793269645541,Other Civilizations,domestic_PIs,104.59615384615385
h_D,0.1033348216480584,204.58859408309803,0.033696046937680885,Other Civilizations,domestic_PIs,104.59615384615385
beta,0.0980829253011726,204.53922379448844,0.009556419473816411,Other Civilizations,domestic_PIs,104.59615384615385
h_A,0.2599301927099794,204.53247627621192,0.006257217016471101,Other Civilizations,domestic_PIs,104.59615384615385
p_A,0.031333575283049,204.5321145119875,0.006080332216855959,Other Civilizations,domestic_PIs,104.59615384615385
alpha,0.0638320420426842,204.52121756342302,0.0007522637317963621,Other Civilizations,domestic_PIs,104.59615384615385
epsilon,0.022222222222222223,204.36730648643353,-0.07450263482608557,Other Civilizations,domestic_PIs,104.59615384615385
d,0.0052950099891291,202.1512213445776,-1.1580585802983403,Other Civilizations,domestic_PIs,104.59615384615385
I0,0.8740144451279236,272.901000660359,0.9554767895119415,Other Western,domestic_active,57.16981132075472
r,0.0020012390516512824,270.4515177014682,0.049328701361956585,Other Western,domestic_active,57.16981132075472
beta,0.16094379124341,270.3404576436608,0.0082437619110583,Other Western,domestic_active,57.16981132075472
h_D,0.1880096745970342,270.3359691782237,0.006583323997100755,Other Western,domestic_active,57.16981132075472
h_A,0.2878231366242557,270.320919427265,0.0010159029179368983,Other Western,domestic_active,57.16981132075472
p_D,0.0191788048301187,270.31996452779924,0.0006626527260486537,Other Western,domestic_active,57.16981132075472
p_A,0.0462098120373296,270.3182875336341,4.2274841365604366e-05,Other Western,domestic_active,57.16981132075472
alpha,0.1256286337293967,270.30015068738544,-0.006667169081737031,Other Western,domestic_active,57.16981132075472
epsilon,0.04,270.1990105548109,-0.04408238662182839,Other Western,domestic_active,57.16981132075472
d,0.0033680345453574,267.6020387303471,-1.0047916845476725,Other Western,domestic_active,57.16981132075472
I0,0.8740144451279236,231.83527654902923,0.9554767895119461,Other Western,domestic_PIs,57.16981132075472
p_D,0.0191788048301187,229.957250536468,0.13766763491105455,Other Western,domestic_PIs,57.16981132075472
r,0.0020012390516512824,229.75438802974037,0.04932870136194935,Other Western,domestic_PIs,57.16981132075472
p_A,0.0462098120373296,229.6612543181701,0.00877249957630744,Other Western,domestic_PIs,57.16981132075472
h_D,0.1880096745970342,229.65828376576624,0.007478936583114241,Other Western,domestic_PIs,57.16981132075472
h_A,0.2878231366242557,229.65303967873064,0.0051953354207458745,Other Western,domestic_PIs,57.16981132075472
alpha,0.1256286337293967,229.65232526859543,0.004884236881747724,Other Western,domestic_PIs,57.16981132075472
beta,0.16094379124341,229.63164561046193,-0.0041209705128670265,Other Western,domestic_PIs,57.16981132075472
epsilon,0.04,229.53987777131607,-0.04408238662183522,Other Western,domestic_PIs,57.16981132075472
d,0.0033680345453574,226.9905583164759,-1.1542143944991585,Other Western,domestic_PIs,57.16981132075472
I0,2.388363239638916,949.8049130976409,0.954548181409606,Sinic,domestic_active,112.34408602150538
r,0.0014040879746062274,941.2992589637239,0.0504841381141629,Sinic,domestic_active,112.34408602150538
beta,0.1098612288668109,940.907929288395,0.008889795930822106,Sinic,domestic_active,112.34408602150538
h_D,0.1373265360835137,940.8912074870849,0.007112439472915024,Sinic,domestic_active,112.34408602150538
h_A,0.2239699336535069,940.833218359476,0.0009487882889021829,Sinic,domestic_active,112.34408602150538
p_D,0.0665685886740751,940.8259430780847,0.00017550028458043532,Sinic,domestic_active,112.34408602150538
p_A,0.0462098120373296,940.8244024368887,1.174588227251245e-05,Sinic,domestic_active,112.34408602150538
alpha,0.08385059627868,940.7564611492201,-0.007209718130881294,Sinic,domestic_active,112.34408602150538
epsilon,0.01,940.4009040570703,-0.045001800584537725,Sinic,domestic_active,112.34408602150538
d,0.0026460027216252,931.3683972295447,-1.005064896851763,Sinic,domestic_active,112.34408602150538
I0,2.388363239638916,904.0285125694666,0.9545481814095967,Sinic,domestic_PIs,112.34408602150538
r,0.0014040879746062274,895.9327933864212,0.050484138114153206,Sinic,domestic_PIs,112.34408602150538
p_D,0.0665685886740751,895.7922948662473,0.034794406621065345,Sinic,domestic_PIs,112.34408602150538
h_D,0.1373265360835137,895.6101625957864,0.01445535667077818,Sinic,domestic_PIs,112.34408602150538
beta,0.1098612288668109,895.5233656651585,0.004762581727025695,Sinic,domestic_PIs,112.34408602150538
h_A,0.2239699336535069,895.5076730829854,0.003010161840865774,Sinic,domestic_PIs,112.34408602150538
p_A,0.0462098120373296,895.5015648134518,0.0023280400024841418,Sinic,domestic_PIs,112.34408602150538
alpha,0.08385059627868,895.4716214817618,-0.001015787631024222,Sinic,domestic_PIs,112.34408602150538
epsilon,0.01,895.0777352172937,-0.04500180058454792,Sinic,domestic_PIs,112.34408602150538
d,0.0026460027216252,886.0480441983747,-1.0533642187584504,Sinic,domestic_PIs,112.34408602150538
