group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,1.5603713544111737,0.002388337689126274,0.014285714285714285,0.1134453781512605,0.004776675378252548,4.791139240506329,25,25,119.77848101265822,411.2006339256478,5.2357817395469155,2.317927295446119,50.05248305531417,6.623918332515669,355.9123691307867,8.09492559623049,291.4221529129896,355.9123691307867
Continental Europe,2.77344948925106,0.002612865522451102,0.008695652173913044,0.12276214833759591,0.005225731044902204,4.964200477326969,26,26,129.0692124105012,632.6740491806158,11.488264530424656,3.7047360636512865,42.488567365527736,8.152507837314504,578.6972172846635,8.299576311390577,503.6048367701146,578.6972172846635
Hindu,1.5178876194691953,0.0010637672526172537,0.015384615384615385,0.11764705882352941,0.0021275345052345074,3.1447963800904977,21,21,66.04072398190046,781.2337582644885,8.338901082614958,0.8583096359718837,29.559132057457088,0.48649294903488316,743.3357251244165,0.16400953153351647,715.1930342825881,743.3357251244165
Islamic,1.1658954861126645,0.001410013616350625,0.022222222222222223,0.13071895424836602,0.00282002723270125,4.08130081300813,31,31,126.52032520325203,469.05981546918076,8.741185974497974,1.931018806916658,26.499081763375116,1.8225229814242843,433.8195477313077,0.5504754665113241,342.53949026592875,433.8195477313077
Japanese,1.4384263987258503,0.009925676288730756,0.01818181818181818,0.13903743315508021,0.019851352577461512,4.20627802690583,12,12,50.47533632286996,129.34514016208158,12.231461246974312,1.1548833588445508,27.621505324677006,1.7210654651411992,89.49217359043026,0.37743359394437553,78.86980383921161,89.49217359043026
Other Civilizations,1.1532296706553111,0.0030987890106644045,0.022222222222222223,0.13071895424836602,0.006197578021328809,4.980769230769231,21,21,104.59615384615385,234.3394457306839,8.165526096898436,1.4346560534903658,21.654240597732223,2.7682150015921523,204.51967903605325,0.8390385521676267,129.74329188453004,204.51967903605325
Other Western,0.8740144451279236,0.0020012390516512824,0.04,0.1764705882352941,0.004002478103302565,3.811320754716981,15,15,57.16981132075472,270.31817325705515,3.3756047409721766,0.9379336854543452,37.30145946323156,1.2823338165173281,229.64110905285142,0.3606338396273124,213.14836193630043,229.64110905285142
Sinic,2.388363239638916,0.0014040879746062274,0.01,0.12058823529411763,0.0028081759492124547,4.681003584229391,24,24,112.34408602150538,940.824291928775,12.800836226310924,3.1899869034800745,32.54273803833412,4.501477212570789,895.48071766413,1.8488804048094525,828.4802059072696,895.48071766413
United States,2.8488632583113103,0.0039562805261539324,0.007142857142857143,0.10504201680672269,0.007912561052307865,4.7319034852546915,28,28,132.49329758713137,462.02573850130506,9.493888331066481,1.7257318165375934,40.232726712447274,7.848818430045477,412.2991234577913,7.364177431065132,329.53244091417366,412.2991234577913
