rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0039699424434524,406.9088805760099,-1.0437127269638289,Anglosphere ex-US,domestic_active,119.77848101265822,1.0437127269638289
I0,1.5603713544111737,415.02599652225496,0.9302910260831034,Anglosphere ex-US,domestic_active,119.77848101265822,0.9302910260831034
r,0.0023883376891262,411.54321422705743,0.0833122016712542,Anglosphere ex-US,domestic_active,119.77848101265822,0.0833122016712542
d,0.004632311607725,626.1327213598505,-1.0339175171222983,Continental Europe,domestic_active,129.0692124105012,1.0339175171222983
I0,2.77344948925106,638.5565823981075,0.9297889213427016,Continental Europe,domestic_active,129.0692124105012,0.9297889213427016
r,0.0026128655224511,633.2058429783591,0.0840549408391248,Continental Europe,domestic_active,129.0692124105012,0.0840549408391248
d,0.0020204246761597,773.4578156866376,-0.9953413425355851,Hindu,domestic_active,66.04072398190046,0.9953413425355851
I0,1.5178876194691953,788.756099174973,0.9628796542529512,Hindu,domestic_active,66.04072398190046,0.9628796542529512
r,0.0010637672526172,781.5488902757569,0.0403377360405452,Hindu,domestic_active,66.04072398190046,0.0403377360405452
d,0.0025844453130496,464.3522970781003,-1.0036072662442228,Islamic,domestic_active,126.52032520325204,1.0036072662442228
I0,1.1658954861126645,473.54965745426153,0.9572003051657224,Islamic,domestic_active,126.52032520325204,0.9572003051657224
r,0.0014100136163506,469.28121642813153,0.0472010075579185,Islamic,domestic_active,126.52032520325204,0.0472010075579185
d,0.0133978920453826,127.90394220451287,-1.1142266000583771,Japanese,domestic_active,50.47533632286996,1.1142266000583771
I0,1.4384263987258503,130.4737413793027,0.8725501521022655,Japanese,domestic_active,50.47533632286996,0.8725501521022655
r,0.0099256762887307,129.61071961298336,0.2053261920540551,Japanese,domestic_active,50.47533632286996,0.2053261920540551
d,0.0052950099891291,231.9296083770645,-1.02835327023385,Other Civilizations,domestic_active,104.59615384615384,1.02835327023385
I0,1.1532296706553111,236.50650523586955,0.9247523388256736,Other Civilizations,domestic_active,104.59615384615384,0.9247523388256736
r,0.0030987890106644,234.5542832900221,0.0916779326964485,Other Civilizations,domestic_active,104.59615384615384,0.0916779326964485
d,0.0033680345453574,267.6020387303471,-1.0047916845476723,Other Western,domestic_active,57.16981132075472,1.0047916845476723
I0,0.8740144451279236,272.901000660359,0.9554767895119416,Other Western,domestic_active,57.16981132075472,0.9554767895119416
r,0.0020012390516512,270.4515177014682,0.0493287013619565,Other Western,domestic_active,57.16981132075472,0.0493287013619565
d,0.0026460027216252,931.3683972295448,-1.005064896851763,Sinic,domestic_active,112.34408602150538,1.005064896851763
I0,2.388363239638916,949.8049130976408,0.954548181409606,Sinic,domestic_active,112.34408602150538,0.954548181409606
r,0.0014040879746062,941.299258963724,0.0504841381141629,Sinic,domestic_active,112.34408602150538,0.0504841381141629
d,0.0068112401162406,457.1410195662289,-1.0572395708777895,United States,domestic_active,132.49329758713137,1.0572395708777895
I0,2.8488632583113103,466.1934124677061,0.9020436783283904,United States,domestic_active,132.49329758713137,0.9020436783283904
r,0.0039562805261539,462.6309423416028,0.1309892046838817,United States,domestic_active,132.49329758713137,0.1309892046838817
