group,n,p_abroad,alpha,p_return,beta,p_hit_domestic,p_hit_abroad,h_D,h_A,p_pi_domestic,p_pi_abroad,p_D,p_A,p_dropout,d
Anglosphere ex-US,27,0.7037037037037037,0.19501187544170914,0.42105263157894735,0.05596157879354228,0.75,1.0,0.150496600540742,0.3805653047154277,0.16666666666666666,0.6842105263157895,0.019178804830118728,0.07324081924454064,0.03703703703703709,0.003969942443452498
Continental Europe,48,0.4583333333333333,0.10269768990396949,0.4090909090909091,0.05389965007326871,0.7692307692307693,0.9090909090909091,0.17328679513998632,0.25993019270997947,0.55,0.6,0.052563824024284674,0.0595878584014731,0.0625,0.004632311607725056
Hindu,26,0.15384615384615385,0.03278504904100905,1.0,0.17917594692280553,0.7727272727272727,0.75,0.17328679513998632,0.1373265360835137,0.5294117647058824,0.6666666666666666,0.04981429345534807,0.06108604879161033,0.0,0.002020424676159713
Islamic,20,0.35,0.07533085395717622,0.8571428571428571,0.1504077396776274,0.5384615384615384,0.8571428571428571,0.09526750650586209,0.18800967459703427,0.42857142857142855,0.5,0.039185777660141266,0.046209812037329684,0.0,0.002584445313049601
Japanese,26,0.15384615384615385,0.03278504904100905,0.75,0.10986122886681096,0.5909090909090909,1.0,0.10943359216923751,0.2239699336535069,0.46153846153846156,0.25,0.04190724396149161,0.027031007207210953,0.1923076923076923,0.013397892045382671
Other Civilizations,20,0.3,0.06383204204268429,0.6666666666666666,0.09808292530117262,0.5714285714285714,1.0,0.10333482164805849,0.25993019270997947,0.5,0.3333333333333333,0.046209812037329684,0.03133357528304904,0.050000000000000044,0.00529500998912916
Other Western,15,0.5333333333333333,0.1256286337293967,0.875,0.16094379124341004,0.8571428571428571,1.0,0.18800967459703427,0.28782313662425574,0.16666666666666666,0.5,0.019178804830118728,0.046209812037329684,0.0,0.003368034545357492
Sinic,41,0.3902439024390244,0.08385059627868008,0.6875,0.10986122886681096,0.68,0.875,0.1373265360835137,0.2239699336535069,0.6470588235294118,0.5,0.06656858867407514,0.046209812037329684,0.024390243902439046,0.002646002721625255
United States,50,0.36,0.07578935951915787,0.2777777777777778,0.03566749439387325,0.90625,1.0,0.26750827043703385,0.37446653419424875,0.6206896551724138,0.4444444444444444,0.06327203697980972,0.039855800050374694,0.09999999999999998,0.006811240116240689
