group,T_equilibrium_mean,T_equilibrium_median,T_equilibrium_q025,T_equilibrium_q975,P_D_equilibrium_mean,P_D_equilibrium_q025,P_D_equilibrium_q975,margin_mean,margin_q025,margin_q975,n
Anglosphere ex-US,939.0547730686928,751.8520397219138,259.9653500647905,1594.6718960877954,823.2457489964993,206.64523185525542,1517.1114652873077,819.2762920560348,140.18686905213227,1474.8934150751372,200
Continental Europe,1561.1005036874992,1163.255366975773,727.2239750033965,4966.495402631013,1460.6326774484305,604.7253532375908,4866.09251233545,1432.031291276998,598.1547625928953,4837.426190220513,200
Hindu,1496.4257246449802,1497.257079964299,1491.6387552391866,1501.9737061736055,1421.3236737411403,1365.527035986426,1445.8986115869798,1430.3850006630796,1425.598031257286,1435.932982191705,200
Islamic,891.9552825374755,892.3668140415459,883.1306606458032,899.1755034896624,812.9891477581664,690.9317663736965,851.4718191470403,765.4349573342234,756.6103354425512,772.6551782864104,200
Japanese,238.8942802457555,206.12515324099388,96.39135742296759,469.73838345769144,172.83223090984677,46.144509870352685,401.9980351428919,188.41894392288552,45.91602110009762,419.2630471348215,200
Other Civilizations,546.3971992192138,425.06374817974154,189.09707643686343,895.4145677622195,486.3803618008946,143.56175589174435,848.0873353065191,441.80104537306,84.50092259070958,790.8184139160657,200
Other Western,513.3092300561798,513.6330579824552,506.28346682635276,518.1144975135219,424.07178036572236,355.54860874537303,472.625894094996,456.139418735425,449.11365550559805,460.94468619276716,200
Sinic,2300.181737252604,1785.1354850374605,842.4121294667405,3659.269927190363,2210.177561482151,756.2844780902409,3586.403750233811,2187.837651231098,730.068043445235,3546.9258411688575,200
United States,923.6218054827815,804.5843466486936,428.3296478735022,2619.8056180743183,836.7416824448871,343.1872262380461,2541.537086074519,791.1285078956502,295.8363502863708,2487.3123204871868,200
