group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium,period
Anglosphere ex-US,1.8746239109865739,0.003133363464030481,0.0,0.17355371900826447,0.006266726928060962,4.791139240506329,25,25,119.77848101265822,699.2468785621446,12.596715900966421,5.561909636221763,88.37168893946944,14.873801212353866,598.2784737217088,22.15693625955497,579.4683975494864,598.2784737217088,early
Continental Europe,3.306853271795593,0.0035489432400481746,0.0,0.21022727272727273,0.007097886480096349,4.964200477326969,26,26,129.0692124105012,1053.657227055307,26.14872890410553,8.639833083132517,95.72316154204573,18.667431628196674,931.7853366091558,19.144317822614376,924.5880146448058,931.7853366091558,early
Hindu,1.437451795176416,0.0017093659369038505,0.0,0.14545454545454545,0.003418731873807701,3.1447963800904977,21,21,66.04072398190046,902.1841211849971,10.637861291858947,1.804836373764238,50.61936182339002,1.018133873888936,840.9268980697482,0.341065495519257,836.1433972030967,840.9268980697482,early
Japanese,1.7060802162755573,0.016014514558037263,0.0,0.2597402597402597,0.032029029116074526,4.20627802690583,12,12,50.47533632286996,184.27952581779334,25.487291499387204,3.1156638323406205,52.25886360166843,4.51414457606848,106.53337071673769,0.9566358785043393,133.80418949492338,106.53337071673769,early
Other Civilizations,0.8722485551419678,0.0061403923248235515,0.0,0.15151515151515152,0.012280784649647103,4.980769230769231,21,21,104.59615384615385,164.42298927230576,6.902713906918071,2.0437110208861156,15.469326667120521,3.6427938881601443,142.05094869826715,2.1188946987170834,59.8268354261519,142.05094869826715,early
Sinic,2.6100528823832394,0.0020239041523382184,0.0,0.20279720279720279,0.004047808304676437,4.681003584229391,24,24,112.34408602150538,1392.5971407824247,27.202547874920015,5.243695359960899,75.78170342873754,7.842148639890021,1289.612889478767,3.2234062446251373,1280.2530547609194,1289.612889478767,early
United States,3.603575121637484,0.005154066901468468,0.0,0.1553030303030303,0.010308133802936936,4.7319034852546915,28,28,132.49329758713137,806.6684514870294,22.403625207167902,3.80105186572672,85.09362995703525,17.91952969894988,699.1711963228263,34.844947705024744,674.1751538998981,699.1711963228263,early
Continental Europe,1.8160593209803058,0.0024677160504325,0.0,0.2619047619047619,0.004935432100865,4.964200477326969,26,26,129.0692124105012,791.2901268122604,13.697236176079414,6.055952026490888,41.66570785031344,10.47536803506508,735.9271827858676,8.969207194041926,662.2209144017592,735.9271827858676,late
Hindu,1.6572420087028756,0.003141552654597035,0.0,0.5555555555555556,0.00628310530919407,3.1447963800904977,21,21,66.04072398190046,608.4466214529174,25.739675999094647,77.21902799728393,55.183713822053235,-0.0,527.5232316317695,-0.0,542.4058974710169,527.5232316317695,late
Islamic,2.1554438508323224,0.0022445631668688293,0.0,0.4333333333333333,0.004489126333737659,4.08130081300813,31,31,126.52032520325203,1106.462406975872,24.79326200276527,6.455246485739354,121.37367078273356,8.893274114516526,960.2954741903733,2.884667125584607,979.94208177262,960.2954741903733,late
Other Civilizations,1.6564758826174664,0.0033969280164001248,0.0,0.5555555555555556,0.0067938560328002495,4.980769230769231,21,21,104.59615384615385,673.7728378812361,34.636333727583896,5.2429603172951795,151.4971209790028,5.586100993886205,487.6393831746494,0.746774017642753,569.1766840350823,487.6393831746494,late
Sinic,1.9842838426286562,0.0022451653387633996,0.0,0.2857142857142857,0.004490330677526799,4.681003584229391,24,24,112.34408602150538,936.4264987365121,19.94974263921221,10.511213107092056,32.673764716856276,11.841671451510921,883.8029913804437,5.14145082122198,824.0824127150067,883.8029913804437,late
