group,T_early,T_late,delta_T,pct_delta_T,M_early,M_late,margin_early,margin_late,delta_margin
Continental Europe,1053.657227055307,791.2901268122604,-262.3671002430466,-24.900612220569414,129.0692124105012,129.0692124105012,924.5880146448058,662.2209144017592,-262.3671002430466
Hindu,902.1841211849971,608.4466214529174,-293.73749973207975,-32.55848699113243,66.04072398190046,66.04072398190046,836.1433972030967,542.4058974710169,-293.73749973207975
Other Civilizations,164.42298927230576,673.7728378812361,509.34984860893036,309.7801900228082,104.59615384615385,104.59615384615385,59.8268354261519,569.1766840350823,509.3498486089304
Sinic,1392.5971407824247,936.4264987365121,-456.1706420459126,-32.75682741884815,112.34408602150538,112.34408602150538,1280.2530547609194,824.0824127150067,-456.1706420459127
