rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.0868828206055476,20.0,1.737656412110952,590.1657760269493,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
beta,0.1029619417181158,0.001,0.0001029619417181158,369.9180582579005,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
h_D,0.2371399981107351,0.001,0.0002371399981107351,542.4372101804648,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
h_A,0.2432387686319141,0.001,0.00024323876863191412,606.1277187547684,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
p_D,0.0391857776601412,0.001,3.9185777660141196e-05,323.72519011687,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
p_A,0.0637007630018291,0.001,6.370076300182911e-05,612.7539179118754,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
d,0.0054688929340695,3.785783223342128,0.020704043120054617,87.21721311475409,True,-1,crossing_found,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
r,0.0031884711197562865,0.001,3.1884711197562865e-06,309.56564028142793,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
I0,1.7168788155565968,0.14094077666895957,0.24197823371103014,87.21721311475409,True,1,crossing_found,Continental Europe,domestic_active,618.8217148796413,87.21721311475409
alpha,0.0868828206055476,20.0,1.737656412110952,537.899803430159,False,-1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,618.8217148796413,87.21721311475409
beta,0.1029619417181158,0.001,0.0001029619417181158,317.6112712695941,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,618.8217148796413,87.21721311475409
h_D,0.2371399981107351,0.001,0.0002371399981107351,456.88152436360235,False,1,no_crossing_in_scanned_range,Continental Europe,domestic_PIs,618.8217148796413,87.21721311475409
