rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold,proximity
I0,1.7168788155565968,0.1619739044368573,0.2780895652006291,87.21721311475409,True,1,crossing_found,Continental Europe,domestic_PIs,618.8217148796413,87.21721311475409,0.8380260955631427
I0,1.7168788155565968,0.1409407766689595,0.2419782337110301,87.21721311475409,True,1,crossing_found,Continental Europe,domestic_active,618.8217148796413,87.21721311475409,0.8590592233310406
I0,1.3437790098099975,0.1708022738052605,0.2295205103673291,60.7682119205298,True,1,crossing_found,Sinic,domestic_PIs,386.7346500379143,60.7682119205298,0.8291977261947395
I0,1.3437790098099975,0.157131542039412,0.211150067971639,60.7682119205298,True,1,crossing_found,Sinic,domestic_active,386.7346500379143,60.7682119205298,0.8428684579605881
d,0.0149035548108155,1.0876683099272408,0.0162101242729876,45.21531100478469,True,-1,crossing_found,United States,domestic_PIs,100.7354456098738,45.21531100478469,0.08766830992724084
d,0.0149035548108155,1.488629542663158,0.0221858719820795,45.21531100478469,True,-1,crossing_found,United States,domestic_active,100.7354456098738,45.21531100478469,0.48862954266315795
