group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Continental Europe,1.7168788155565968,0.0031884711197562865,0.0,0.11764705882352941,0.006376942239512573,6.709016393442623,13,13,87.21721311475409,618.8217148796413,11.29324446303376,2.7900874103801736,69.06387380157591,3.9426661654554858,538.4645966150316,2.316230837903529,531.6045017648871,538.4645966150316
Sinic,1.3437790098099975,0.003776983115130861,0.0,0.0784313725490196,0.007553966230261722,7.596026490066225,8,8,60.7682119205298,386.73465003791426,12.441668211310237,2.5009808461923178,18.51193414679151,3.8116680445178694,355.7810476798125,1.5296024453341421,325.9664381173845,355.7810476798125
United States,0.7988849793172288,0.013911326976540295,0.0,0.14705882352941177,0.02782265395308059,6.45933014354067,7,7,45.21531100478469,100.7354456098738,5.4881141125385895,2.240612830460681,37.82038864376772,2.806855183845146,57.426942853567496,1.4243922097815034,55.52013460508912,57.426942853567496
