group,k_multiplier,k_used,k_observed,c_bar,M_threshold,T_equilibrium,P_D_equilibrium,margin_to_threshold_T
Islamic,1.5,46,31,4.08130081300813,187.73983739837396,892.4150126191166,825.3682460003688,704.6751752207426
Japanese,1.5,18,12,4.20627802690583,75.71300448430493,206.80613971820682,143.0864038033193,131.09313523390188
Other Civilizations,1.5,32,21,4.980769230769231,159.3846153846154,424.69788750901796,370.6549504280109,265.3132721244026
Other Western,1.5,22,15,3.811320754716981,83.84905660377359,513.116268880715,435.9033195551277,429.2672122769414
Sinic,1.5,36,24,4.681003584229391,168.51612903225805,1783.6369191321683,1697.6734998224606,1615.1207900999102
United States,1.5,42,28,4.7319034852546915,198.73994638069703,801.7049961301439,715.41959599131,602.9650497494468
Anglosphere ex-US,2.0,50,25,4.791139240506329,239.55696202531644,752.1233876326331,650.9961188907274,512.5664256073167
Continental Europe,2.0,52,26,4.964200477326969,258.1384248210024,1156.273540286361,1057.6256147224703,898.1351154653585
Hindu,2.0,42,21,3.1447963800904977,132.0814479638009,1497.3697119747908,1424.7315721516666,1365.28826401099
Islamic,2.0,62,31,4.08130081300813,253.04065040650406,892.4150126191166,825.3682460003688,639.3743622126126
Japanese,2.0,24,12,4.20627802690583,100.95067264573991,206.80613971820682,143.0864038033193,105.85546707246691
Other Civilizations,2.0,42,21,4.980769230769231,209.1923076923077,424.69788750901796,370.6549504280109,215.50557981671025
Other Western,2.0,30,15,3.811320754716981,114.33962264150944,513.116268880715,435.9033195551277,398.77664623920555
Sinic,2.0,48,24,4.681003584229391,224.68817204301075,1783.6369191321683,1697.6734998224606,1558.9487470891575
United States,2.0,56,28,4.7319034852546915,264.98659517426273,801.7049961301439,715.41959599131,536.7184009558812
