group,k_multiplier,k_used,k_observed,c_bar,M_threshold,T_equilibrium,P_D_equilibrium,margin_to_threshold_T
Anglosphere ex-US,0.5,12,25,4.791139240506329,57.49367088607595,752.1233876326331,650.9961188907274,694.6297167465572
Continental Europe,0.5,13,26,4.964200477326969,64.5346062052506,1156.273540286361,1057.6256147224703,1091.7389340811103
Hindu,0.5,10,21,3.1447963800904977,31.447963800904976,1497.3697119747908,1424.7315721516666,1465.9217481738858
Islamic,0.5,16,31,4.08130081300813,65.30081300813008,892.4150126191166,825.3682460003688,827.1141996109866
Japanese,0.5,6,12,4.20627802690583,25.23766816143498,206.80613971820682,143.0864038033193,181.56847155677184
Other Civilizations,0.5,10,21,4.980769230769231,49.80769230769231,424.69788750901796,370.6549504280109,374.89019520132564
Other Western,0.5,8,15,3.811320754716981,30.49056603773585,513.116268880715,435.9033195551277,482.62570284297914
Sinic,0.5,12,24,4.681003584229391,56.17204301075269,1783.6369191321683,1697.6734998224606,1727.4648761214155
United States,0.5,14,28,4.7319034852546915,66.24664879356568,801.7049961301439,715.41959599131,735.4583473365782
Anglosphere ex-US,0.75,19,25,4.791139240506329,91.03164556962025,752.1233876326331,650.9961188907274,661.0917420630128
Continental Europe,0.75,20,26,4.964200477326969,99.28400954653938,1156.273540286361,1057.6256147224703,1056.9895307398215
Hindu,0.75,16,21,3.1447963800904977,50.31674208144796,1497.3697119747908,1424.7315721516666,1447.0529698933428
Islamic,0.75,23,31,4.08130081300813,93.86991869918698,892.4150126191166,825.3682460003688,798.5450939199296
Japanese,0.75,9,12,4.20627802690583,37.856502242152466,206.80613971820682,143.0864038033193,168.94963747605436
Other Civilizations,0.75,16,21,4.980769230769231,79.6923076923077,424.69788750901796,370.6549504280109,345.0055798167103
Other Western,0.75,11,15,3.811320754716981,41.924528301886795,513.116268880715,435.9033195551277,471.1917405788282
Sinic,0.75,18,24,4.681003584229391,84.25806451612902,1783.6369191321683,1697.6734998224606,1699.3788546160392
United States,0.75,21,28,4.7319034852546915,99.36997319034852,801.7049961301439,715.41959599131,702.3350229397953
Anglosphere ex-US,1.0,25,25,4.791139240506329,119.77848101265822,752.1233876326331,650.9961188907274,632.344906619975
Continental Europe,1.0,26,26,4.964200477326969,129.0692124105012,1156.273540286361,1057.6256147224703,1027.2043278758597
Hindu,1.0,21,21,3.1447963800904977,66.04072398190046,1497.3697119747908,1424.7315721516666,1431.3289879928902
Islamic,1.0,31,31,4.08130081300813,126.52032520325203,892.4150126191166,825.3682460003688,765.8946874158646
Japanese,1.0,12,12,4.20627802690583,50.47533632286996,206.80613971820682,143.0864038033193,156.33080339533686
Other Civilizations,1.0,21,21,4.980769230769231,104.59615384615385,424.69788750901796,370.6549504280109,320.1017336628641
Other Western,1.0,15,15,3.811320754716981,57.16981132075472,513.116268880715,435.9033195551277,455.94645755996027
Sinic,1.0,24,24,4.681003584229391,112.34408602150538,1783.6369191321683,1697.6734998224606,1671.292833110663
United States,1.0,28,28,4.7319034852546915,132.49329758713137,801.7049961301439,715.41959599131,669.2116985430125
Anglosphere ex-US,1.25,31,25,4.791139240506329,148.52531645569618,752.1233876326331,650.9961188907274,603.598071176937
Continental Europe,1.25,32,26,4.964200477326969,158.854415274463,1156.273540286361,1057.6256147224703,997.4191250118979
Hindu,1.25,26,21,3.1447963800904977,81.76470588235294,1497.3697119747908,1424.7315721516666,1415.6050060924379
Islamic,1.25,39,31,4.08130081300813,159.17073170731706,892.4150126191166,825.3682460003688,733.2442809117996
Japanese,1.25,15,12,4.20627802690583,63.09417040358745,206.80613971820682,143.0864038033193,143.71196931461938
Other Civilizations,1.25,26,21,4.980769230769231,129.5,424.69788750901796,370.6549504280109,295.19788750901796
Other Western,1.25,19,15,3.811320754716981,72.41509433962264,513.116268880715,435.9033195551277,440.7011745410923
Sinic,1.25,30,24,4.681003584229391,140.43010752688173,1783.6369191321683,1697.6734998224606,1643.2068116052865
United States,1.25,35,28,4.7319034852546915,165.6166219839142,801.7049961301439,715.41959599131,636.0883741462296
Anglosphere ex-US,1.5,38,25,4.791139240506329,182.0632911392405,752.1233876326331,650.9961188907274,570.0600964933926
Continental Europe,1.5,39,26,4.964200477326969,193.60381861575178,1156.273540286361,1057.6256147224703,962.6697216706091
Hindu,1.5,32,21,3.1447963800904977,100.63348416289593,1497.3697119747908,1424.7315721516666,1396.7362278118949
