group,inflow_I,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,1.588235294117647,4.791139240506329,25,25,119.77848101265822,384.14909031496506,4.89133679861577,2.1654384465828893,46.7596940455613,6.188152429299556,332.498059470788,7.562386940584214,264.37060930230683,332.498059470788
Continental Europe,2.823529411764706,4.964200477326969,26,26,129.0692124105012,590.7094098080987,10.726259389452421,3.4590046114400987,39.67034302195226,7.611760114505888,540.312807396694,7.749073683215349,461.6401973975975,540.312807396694
Hindu,1.5294117647058822,3.1447963800904977,21,21,66.04072398190046,755.5162503263559,8.064392009602203,0.8300548599295383,28.586072195040586,0.4704780416575518,718.8657861217131,0.1586104862611863,689.4755263444555,718.8657861217131
Islamic,1.1764705882352942,4.08130081300813,31,31,126.52032520325203,451.0730528422513,8.40599282425151,1.8569711572082626,25.482936960962938,1.7526357577314755,417.18412305703686,0.5293667054928949,324.5527276389993,417.18412305703686
Japanese,1.5294117647058822,4.20627802690583,12,12,50.47533632286996,111.35234902541491,10.529981568362011,0.9942312072688261,23.779165554010184,1.481653521190221,77.04320190304271,0.32493000691132007,60.87701270254495,77.04320190304271
Other Civilizations,1.1764705882352942,4.980769230769231,21,21,104.59615384615385,217.50506130194398,7.5789342623505505,1.3315937992797284,20.098651825223154,2.5693530670471514,189.82747521437028,0.7787640324695811,112.90890745579013,189.82747521437028
Other Western,0.8823529411764706,3.811320754716981,15,15,57.16981132075472,259.5009674487966,3.2405246212359935,0.9004007974956428,35.80878304010964,1.2310192169807035,220.45165978745095,0.34620251073193137,202.33115612804187,220.45165978745095
Sinic,2.411764705882353,4.681003584229391,24,24,112.34408602150538,902.3248197963688,12.2770131896459,3.0594494450546605,31.21105661071013,4.317272257419449,858.8367499960128,1.7732223672441316,789.9807337748634,858.8367499960128
United States,2.9411764705882355,4.7319034852546915,28,28,132.49329758713137,416.54101151755316,8.559250100405295,1.555839894981442,36.2719634089492,7.076131253366357,371.7097980081987,6.639201370210984,284.04771393042176,371.7097980081987
