rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
I,1.588235294117647,387.99058121811476,1.0000000000000104,Anglosphere ex-US,domestic_active,119.77848101265822
beta,0.0559615787935422,384.2858356524624,0.035596944245069366,Anglosphere ex-US,domestic_active,119.77848101265822
h_D,0.150496600540742,384.2225187857146,0.019114576241568964,Anglosphere ex-US,domestic_active,119.77848101265822
h_A,0.3805653047154277,384.1594852314405,0.0027059588939573375,Anglosphere ex-US,domestic_active,119.77848101265822
p_A,0.0732408192445406,384.1490903149651,1.4797228548478902e-14,Anglosphere ex-US,domestic_active,119.77848101265822
p_D,0.0191788048301187,384.149090314965,-1.4797228548478902e-14,Anglosphere ex-US,domestic_active,119.77848101265822
alpha,0.1950118754417091,384.07377045814997,-0.019606933535452144,Anglosphere ex-US,domestic_active,119.77848101265822
d,0.0039699424434524,380.20063976229187,-1.0278432650812335,Anglosphere ex-US,domestic_active,119.77848101265822
I,1.588235294117647,335.8230400654959,1.0000000000000004,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_D,0.0191788048301187,332.88228161207513,0.11555620562076743,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_A,0.0732408192445406,332.57988346629713,0.024608864075585535,Anglosphere ex-US,domestic_PIs,119.77848101265822
alpha,0.1950118754417091,332.5433087214369,0.013608876611468878,Anglosphere ex-US,domestic_PIs,119.77848101265822
beta,0.0559615787935422,332.5330979999477,0.010537965008114743,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_A,0.3805653047154277,332.52202245745093,0.007206955343156898,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_D,0.150496600540742,332.49324767431045,-0.001447165281268957,Anglosphere ex-US,domestic_PIs,119.77848101265822
d,0.0039699424434524,328.64211738539,-1.1596885983440655,Anglosphere ex-US,domestic_PIs,119.77848101265822
I,2.823529411764706,596.6165039061798,1.0000000000000147,Continental Europe,domestic_active,129.0692124105012
beta,0.0538996500732687,590.8709148402753,0.027340859904205612,Continental Europe,domestic_active,129.0692124105012
h_D,0.1732867951399863,590.8324898862604,0.020835977236538485,Continental Europe,domestic_active,129.0692124105012
h_A,0.2599301927099794,590.719465156317,0.0017022495412054675,Continental Europe,domestic_active,129.0692124105012
p_A,0.0595878584014731,590.7094098080988,1.9245814580564915e-14,Continental Europe,domestic_active,129.0692124105012
p_D,0.0525638240242846,590.7094098080988,1.9245814580564915e-14,Continental Europe,domestic_active,129.0692124105012
alpha,0.1026976899039694,590.5826185940515,-0.021464227916803694,Continental Europe,domestic_active,129.0692124105012
d,0.004632311607725,584.6928384603833,-1.0185331819362717,Continental Europe,domestic_active,129.0692124105012
I,2.823529411764706,545.7159354706611,1.0000000000000262,Continental Europe,domestic_PIs,129.0692124105012
p_D,0.0525638240242846,540.6740618748056,0.06686024709504765,Continental Europe,domestic_PIs,129.0692124105012
h_D,0.1732867951399863,540.4426292408433,0.024027163963560232,Continental Europe,domestic_PIs,129.0692124105012
beta,0.0538996500732687,540.4200480853048,0.01984788943417317,Continental Europe,domestic_PIs,129.0692124105012
p_A,0.0595878584014731,540.3488116638558,0.006663596840377861,Continental Europe,domestic_PIs,129.0692124105012
h_A,0.2599301927099794,540.336719357502,0.004425577273146891,Continental Europe,domestic_PIs,129.0692124105012
alpha,0.1026976899039694,540.2773280836726,-0.006566439391343289,Continental Europe,domestic_PIs,129.0692124105012
d,0.004632311607725,534.3415348665015,-1.1051510251927767,Continental Europe,domestic_PIs,129.0692124105012
I,1.5294117647058822,763.0714128296196,1.000000000000013,Hindu,domestic_active,66.04072398190046
beta,0.1791759469228055,755.5299262850971,0.0018101475296181397,Hindu,domestic_active,66.04072398190046
h_D,0.1732867951399863,755.529462078981,0.0017487052885252923,Hindu,domestic_active,66.04072398190046
h_A,0.1373265360835137,755.5168591958442,8.058985997765705e-05,Hindu,domestic_active,66.04072398190046
p_A,0.0610860487916103,755.5162503263559,0.0,Hindu,domestic_active,66.04072398190046
p_D,0.049814293455348,755.5162503263558,-1.5047570144587543e-14,Hindu,domestic_active,66.04072398190046
alpha,0.032785049041009,755.5027725993358,-0.0017839096133682466,Hindu,domestic_active,66.04072398190046
d,0.0020204246761597,748.0217715431371,-0.9919679133283338,Hindu,domestic_active,66.04072398190046
I,1.5294117647058822,726.0544439829304,1.0000000000000207,Hindu,domestic_PIs,66.04072398190046
p_D,0.049814293455348,719.1378895305563,0.037851767895539484,Hindu,domestic_PIs,66.04072398190046
h_D,0.1732867951399863,718.9436912183936,0.0108372241640297,Hindu,domestic_PIs,66.04072398190046
h_A,0.1373265360835137,718.8724806152833,0.0009312577812766519,Hindu,domestic_PIs,66.04072398190046
p_A,0.0610860487916103,718.8698761363228,0.000568953856011572,Hindu,domestic_PIs,66.04072398190046
beta,0.1791759469228055,718.868868674541,0.0004288078369289834,Hindu,domestic_PIs,66.04072398190046
alpha,0.032785049041009,718.8637546635551,-0.000282592132935395,Hindu,domestic_PIs,66.04072398190046
d,0.0020204246761597,711.3868128373446,-1.0403852052436164,Hindu,domestic_PIs,66.04072398190046
I,1.1764705882352942,455.5837833706739,1.0000000000000284,Islamic,domestic_active,126.52032520325203
beta,0.1504077396776274,451.10792533062664,0.007731006797152154,Islamic,domestic_active,126.52032520325203
h_D,0.095267506505862,451.1010361591947,0.006203721718037919,Islamic,domestic_active,126.52032520325203
h_A,0.1880096745970342,451.0784337743926,0.001192918111021492,Islamic,domestic_active,126.52032520325203
p_A,0.0462098120373296,451.0730528422513,0.0,Islamic,domestic_active,126.52032520325203
p_D,0.0391857776601412,451.0730528422513,0.0,Islamic,domestic_active,126.52032520325203
alpha,0.0753308539571762,451.04420153287896,-0.006396150067163956,Islamic,domestic_active,126.52032520325203
d,0.0025844453130496,446.567540602776,-0.9988431388409652,Islamic,domestic_active,126.52032520325203
I,1.1764705882352942,421.3559642876073,1.000000000000023,Islamic,domestic_PIs,126.52032520325203
p_D,0.0391857776601412,417.42096352698553,0.05677120888809426,Islamic,domestic_PIs,126.52032520325203
h_D,0.095267506505862,417.2508034868008,0.015983453367143664,Islamic,domestic_PIs,126.52032520325203
h_A,0.1880096745970342,417.2054392294647,0.005109535873900518,Islamic,domestic_PIs,126.52032520325203
p_A,0.0462098120373296,417.19872898945647,0.0035010758109833796,Islamic,domestic_PIs,126.52032520325203
alpha,0.0753308539571762,417.19399668892015,0.002366732418037134,Islamic,domestic_PIs,126.52032520325203
beta,0.1504077396776274,417.18662060493864,0.000598668013413617,Islamic,domestic_PIs,126.52032520325203
d,0.0025844453130496,412.70252702291936,-1.0742489434346916,Islamic,domestic_PIs,126.52032520325203
