rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold
alpha,0.1950118754417091,20.0,3.9002375088341816,744.071823640554,False,-1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
beta,0.0559615787935422,0.001,5.59615787935422e-05,225.57743975187307,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
h_D,0.150496600540742,0.001,0.000150496600540742,727.2200038492941,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
h_A,0.3805653047154277,0.001,0.0003805653047154277,656.1537131304023,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
p_D,0.0191788048301187,0.001,1.91788048301187e-05,448.9086480937441,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
p_A,0.0732408192445406,0.001,7.32408192445406e-05,713.0067977403099,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
d,0.0039699424434524,3.2665206023329763,0.012967898781613382,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
r,0.002388337689126274,0.001,2.3883376891262743e-06,376.2498187556988,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
I0,1.5547985664698791,0.15925376471760877,0.24760752508786954,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_active,752.1233876326331,119.77848101265822
alpha,0.1950118754417091,0.001,0.0001950118754417091,614.6754159108418,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,752.1233876326331,119.77848101265822
beta,0.0559615787935422,0.001,5.59615787935422e-05,182.79617869805034,False,1,no_crossing_in_scanned_range,Anglosphere ex-US,domestic_PIs,752.1233876326331,119.77848101265822
