rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0039699424434524,735.8590643796209,-2.1624541292626773,Anglosphere ex-US,domestic_active,119.77848101265822,2.1624541292626773
p_D,0.0191788048301187,752.9935183708936,0.1156898924522634,Anglosphere ex-US,domestic_active,119.77848101265822,0.1156898924522634
beta,0.0559615787935422,752.4704156446671,0.0461397714444567,Anglosphere ex-US,domestic_active,119.77848101265822,0.0461397714444567
d,0.004632311607725,1131.986351833975,-2.1004708320464496,Continental Europe,domestic_active,129.0692124105012,2.1004708320464496
p_D,0.0525638240242846,1157.0471448663184,0.0669049799207438,Continental Europe,domestic_active,129.0692124105012,0.0669049799207438
beta,0.0538996500732687,1156.819279626662,0.0471981171657761,Continental Europe,domestic_active,129.0692124105012,0.0471981171657761
d,0.0020204246761597,1467.251220270637,-2.011426534361527,Hindu,domestic_active,66.04072398190046,2.011426534361527
p_D,0.049814293455348,1497.9367075004625,0.0378661008792493,Hindu,domestic_active,66.04072398190046,0.0378661008792493
h_D,0.1732867951399863,1497.5581902961808,0.0125872935643543,Hindu,domestic_active,66.04072398190046,0.0125872935643543
d,0.0025844453130496,874.1110576964493,-2.051058606572264,Islamic,domestic_active,126.52032520325204,2.051058606572264
p_D,0.0391857776601412,892.9219351960129,0.0568034568814035,Islamic,domestic_active,126.52032520325204,0.0568034568814035
h_D,0.095267506505862,892.6130459529785,0.022190721924396,Islamic,domestic_active,126.52032520325204,0.022190721924396
d,0.0133978920453826,202.0147339722745,-2.316858557710645,Japanese,domestic_active,50.47533632286996,2.316858557710645
p_D,0.0419072439614916,207.28728934291337,0.2326573211811597,Japanese,domestic_active,50.47533632286996,0.2326573211811597
h_D,0.1094335921692375,207.0350621130168,0.110694196565882,Japanese,domestic_active,50.47533632286996,0.110694196565882
d,0.0052950099891291,415.67480235426376,-2.124589130329169,Other Civilizations,domestic_active,104.59615384615384,2.124589130329169
p_D,0.0462098120373296,425.098112547642,0.0942375863867604,Other Civilizations,domestic_active,104.59615384615384,0.0942375863867604
h_D,0.1033348216480584,424.8991589872202,0.0473916833876274,Other Civilizations,domestic_active,104.59615384615384,0.0473916833876274
d,0.0033680345453574,502.2202814210651,-2.123492884647333,Other Western,domestic_active,57.16981132075472,2.123492884647333
p_D,0.0191788048301187,513.8202235215746,0.1371920329860447,Other Western,domestic_active,57.16981132075472,0.1371920329860447
h_D,0.1880096745970342,513.1880600748017,0.0139912137736933,Other Western,domestic_active,57.16981132075472,0.0139912137736933
d,0.0026460027216252,1747.4902994299491,-2.026568261426553,Sinic,domestic_active,112.34408602150538,2.026568261426553
p_D,0.0665685886740751,1784.2546074793668,0.034630834368412,Sinic,domestic_active,112.34408602150538,0.034630834368412
h_D,0.1373265360835137,1784.019063554084,0.0214250118853554,Sinic,domestic_active,112.34408602150538,0.0214250118853554
d,0.0068112401162406,784.6631314866663,-2.1257026868660134,United States,domestic_active,132.49329758713137,2.1257026868660134
p_D,0.0632720369798097,802.4055719379758,0.0873857355528046,United States,domestic_active,132.49329758713137,0.0873857355528046
h_D,0.2675082704370338,802.2343924818033,0.0660338097198915,United States,domestic_active,132.49329758713137,0.0660338097198915
