group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,1.5547985664698791,0.002388337689126274,0.0,0.1134453781512605,0.004776675378252548,4.791139240506329,25,25,119.77848101265822,752.1233876326331,9.576721371410038,4.23970000506447,91.55054737049565,12.115749550508767,650.9961188907274,14.806355729431765,632.344906619975,650.9961188907274
Continental Europe,2.7634335047483307,0.002612865522451102,0.0,0.12276214833759591,0.005225731044902204,4.964200477326969,26,26,129.0692124105012,1156.273540286361,20.9959240742434,6.7707665419381255,77.65200148964716,14.899503324772624,1057.6256147224703,15.168285307224236,1027.2043278758597,1057.6256147224703
Hindu,1.515582790421858,0.0010637672526172537,0.0,0.11764705882352941,0.0021275345052345074,3.1447963800904977,21,21,66.04072398190046,1497.3697119747908,15.982947203920137,1.6450989717283786,56.65519261920409,0.932447937980053,1424.7315721516666,0.31435265360143244,1431.3289879928902,1424.7315721516666
Islamic,1.1637804656881385,0.001410013616350625,0.0,0.13071895424836602,0.00282002723270125,4.08130081300813,31,31,126.52032520325203,892.4150126191166,16.63064141176723,3.673881488267261,50.41612520698054,3.467461538651561,825.3682460003688,1.0473132726192675,765.8946874158646,825.3682460003688
Japanese,1.420229325529844,0.009925676288730756,0.0,0.13903743315508021,0.019851352577461512,4.20627802690583,12,12,50.47533632286996,206.80613971820682,19.556523580475073,1.8465090297799596,44.163212334412435,2.7517609444170974,143.0864038033193,0.6034674705659178,156.33080339533686,143.0864038033193
Other Civilizations,1.1485814871393145,0.0030987890106644045,0.0,0.13071895424836602,0.006197578021328809,4.980769230769231,21,21,104.59615384615385,424.69788750901796,14.798540096139032,2.6000547766064943,39.244396984868004,5.0168893234393375,370.6549504280109,1.5206057159226176,320.1017336628641,370.6549504280109
Other Western,0.8723467459182142,0.0020012390516512824,0.0,0.1764705882352941,0.004002478103302565,3.811320754716981,15,15,57.16981132075472,513.116268880715,6.407551845419586,1.7803798662112729,70.80539748016763,2.4341180449056816,435.9033195551277,0.6845529029442086,455.94645755996027,435.9033195551277
Sinic,2.3836829463902283,0.0014040879746062274,0.0,0.12058823529411763,0.0028081759492124547,4.681003584229391,24,24,112.34408602150538,1783.6369191321683,24.268127731061146,6.0476525334296,61.69529157864659,8.534006844692799,1697.6734998224606,3.505151150293452,1671.292833110663,1697.6734998224606
United States,2.8304006158559254,0.0039562805261539324,0.0,0.10504201680672269,0.007912561052307865,4.7319034852546915,28,28,132.49329758713137,801.7049961301439,16.473752593106173,2.994482133802226,69.81164754572772,13.619234654538703,715.41959599131,12.77828775951859,669.2116985430125,715.41959599131
