rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,abs_elasticity
d,0.0039699424434524,735.8590643796209,-2.1624541292626773,Anglosphere ex-US,domestic_active,119.77848101265822,2.1624541292626773
r,0.0023883376891262,759.720593567091,1.0101010099380978,Anglosphere ex-US,domestic_active,119.77848101265822,1.0101010099380978
I0,1.5547985664698791,759.6446215089592,0.9999999999999628,Anglosphere ex-US,domestic_active,119.77848101265822,0.9999999999999628
d,0.004632311607725,1131.986351833975,-2.1004708320464496,Continental Europe,domestic_active,129.0692124105012,2.1004708320464496
r,0.0026128655224511,1167.9530709947069,1.0101010099611405,Continental Europe,domestic_active,129.0692124105012,1.0101010099611405
I0,2.7634335047483307,1167.8362756892243,1.0,Continental Europe,domestic_active,129.0692124105012,1.0
d,0.0020204246761597,1467.251220270637,-2.011426534361527,Hindu,domestic_active,66.04072398190046,2.011426534361527
r,0.0010637672526172,1512.494658558409,1.0101010099683885,Hindu,domestic_active,66.04072398190046,1.0101010099683885
I0,1.515582790421858,1512.3434090945389,1.0000000000000109,Hindu,domestic_active,66.04072398190046,1.0000000000000109
d,0.0025844453130496,874.1110576964493,-2.051058606572264,Islamic,domestic_active,126.52032520325204,2.051058606572264
r,0.0014100136163506,901.4293056733388,1.010101009816776,Islamic,domestic_active,126.52032520325204,1.010101009816776
I0,1.1637804656881383,901.3391627453078,1.000000000000003,Islamic,domestic_active,126.52032520325204,1.000000000000003
d,0.0133978920453826,202.0147339722745,-2.316858557710645,Japanese,domestic_active,50.47533632286996,2.316858557710645
r,0.0099256762887307,208.895090624363,1.0101010100582994,Japanese,domestic_active,50.47533632286996,1.0101010100582994
I0,1.420229325529844,208.8742011153889,1.0000000000000044,Japanese,domestic_active,50.47533632286996,1.0000000000000044
d,0.0052950099891291,415.67480235426376,-2.124589130329169,Other Civilizations,domestic_active,104.59615384615384,2.124589130329169
r,0.0030987890106644,428.9877651606066,1.010101010096882,Other Civilizations,domestic_active,104.59615384615384,1.010101010096882
I0,1.1485814871393143,428.94486638410814,0.9999999999999996,Other Civilizations,domestic_active,104.59615384615384,0.9999999999999996
d,0.0033680345453574,502.2202814210651,-2.123492884647333,Other Western,domestic_active,57.16981132075472,2.123492884647333
r,0.0020012390516512,518.2992614951911,1.0101010100073478,Other Western,domestic_active,57.16981132075472,1.0101010100073478
I0,0.8723467459182142,518.2474315695221,0.9999999999999865,Other Western,domestic_active,57.16981132075472,0.9999999999999865
d,0.0026460027216252,1747.4902994299491,-2.026568261426553,Sinic,domestic_active,112.34408602150538,2.026568261426553
r,0.0014040879746062,1801.6534536651784,1.0101010098947785,Sinic,domestic_active,112.34408602150538,1.0101010098947785
I0,2.3836829463902283,1801.47328832349,0.9999999999999974,Sinic,domestic_active,112.34408602150538,0.9999999999999974
d,0.0068112401162406,784.6631314866663,-2.1257026868660134,United States,domestic_active,132.49329758713137,2.1257026868660134
r,0.0039562805261539,809.8030263934877,1.0101010100265433,United States,domestic_active,132.49329758713137,1.0101010100265433
I0,2.8304006158559254,809.7220460914452,0.9999999999999928,United States,domestic_active,132.49329758713137,0.9999999999999928
