group,n_postdoc_abroad,n_mid_abroad,postdoc_return_rate,mid_return_rate,beta_baseline,beta_counterfactual,T_baseline,T_counterfactual,delta_T,delta_margin
Anglosphere ex-US,9.0,10.0,0.3333333333333333,0.5,0.0559615787935422,0.05849335959197125,752.1233876326331,753.3036940575652,1.1803064249320414,1.1803064249320414
Continental Europe,8.0,14.0,0.25,0.5,0.0538996500732687,0.05533852381847867,1156.273540286361,1157.1179890278408,0.8444487414799369,0.8444487414799369
Hindu,4.0,0.0,1.0,0.0,0.1791759469228055,0.17917594692280553,1497.3697119747908,1497.3697119747908,0.0,0.0
Islamic,3.0,4.0,1.0,0.75,0.1504077396776274,0.1504077396776274,892.4150126191166,892.4150126191166,0.0,0.0
Japanese,2.0,2.0,0.5,1.0,0.1098612288668109,0.114990558305566,206.80613971820682,207.0101966338912,0.2040569156843901,0.2040569156843901
Other Civilizations,1.0,5.0,1.0,0.6,0.0980829253011726,0.09808292530117262,424.69788750901796,424.69788750901796,0.0,0.0
Other Western,3.0,5.0,0.6666666666666666,1.0,0.16094379124341,0.17147984280919265,513.116268880715,513.3785612374587,0.2622923567437283,0.2622923567437283
Sinic,9.0,7.0,0.5555555555555556,0.8571428571428571,0.1098612288668109,0.11856236656577394,1783.6369191321683,1784.8200056379762,1.183086505807978,1.183086505807978
United States,12.0,6.0,0.25,0.3333333333333333,0.0356674943938732,0.03783364407199118,801.7049961301439,803.1506451236933,1.445648993549412,1.445648993549412
