group,n,p_abroad,alpha,p_return,beta,p_hit_domestic,p_hit_abroad,h_D,h_A,p_pi_domestic,p_pi_abroad,p_D,p_A,p_dropout,d
Continental Europe,30,0.4,0.08688282060554768,0.6666666666666666,0.10296194171811583,0.8888888888888888,0.9166666666666666,0.23713999811073513,0.24323876863191413,0.4375,0.6363636363636364,0.039185777660141266,0.0637007630018291,0.06666666666666665,0.005468892934069585
Sinic,24,0.4166666666666667,0.09167438948654534,0.8,0.13862943611198905,0.7142857142857143,1.0,0.1453938512257101,0.3106133312235,0.9,0.6,0.11945063128187035,0.058364582490260004,0.08333333333333337,0.006811240116240689
United States,15,0.5333333333333333,0.1256286337293967,0.625,0.0916290731874155,0.8571428571428571,0.875,0.18800967459703427,0.20117973905426256,0.16666666666666666,0.5714285714285714,0.019178804830118728,0.05406201441442192,0.19999999999999996,0.014903554810815524
