,Anglosphere ex-US,Continental Europe,Hindu,Islamic,Japanese,Other Civilizations,Other Western,Sinic,United States
Anglosphere ex-US,316.0,101.0,10.0,24.0,19.0,39.0,30.0,40.0,73.0
Continental Europe,101.0,419.0,20.0,36.0,31.0,71.0,46.0,32.0,86.0
Hindu,10.0,20.0,221.0,11.0,2.0,9.0,3.0,7.0,23.0
Islamic,24.0,36.0,11.0,246.0,9.0,15.0,4.0,23.0,24.0
Japanese,19.0,31.0,2.0,9.0,223.0,11.0,5.0,25.0,20.0
Other Civilizations,39.0,71.0,9.0,15.0,11.0,260.0,12.0,16.0,34.0
Other Western,30.0,46.0,3.0,4.0,5.0,12.0,212.0,9.0,58.0
Sinic,40.0,32.0,7.0,23.0,25.0,16.0,9.0,279.0,37.0
United States,73.0,86.0,23.0,24.0,20.0,34.0,58.0,37.0,373.0
