group,spillover_factor,I0,r,r_critical,c_bar,k_groups,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,max_eigenvalue_real
Anglosphere ex-US,0.1,1.5547985664698791,0.002388337689126274,0.004776675378252548,4.791139240506329,25,119.77848101265822,753.120353172711,9.589415646513324,4.2453198739248466,91.67190078458232,12.131809395200063,651.8590367416153,14.82598206558765,633.3418721600528,-0.0009846787477068102
Continental Europe,0.1,2.7634335047483307,0.002612865522451102,0.005225731044902204,4.964200477326969,26,129.0692124105012,1157.0334057045443,21.00972191365679,6.775216069814148,77.70303186310886,14.909294794463953,1058.3206519277787,15.178253411705153,1027.964193294043,-0.0009846787477068102
Hindu,0.1,1.515582790421858,0.0010637672526172537,0.0021275345052345074,3.1447963800904977,21,66.04072398190046,1497.7497190489953,15.987003405241397,1.6455164699868408,56.6695707476072,0.9326845774752464,1425.0931448961467,0.31443243098119916,1431.7089950670947,-0.0009846787477068102
Islamic,0.1,1.1637804656881385,0.001410013616350625,0.00282002723270125,4.08130081300813,31,126.52032520325203,892.9971132605443,16.641489175303537,3.6762778719459406,50.449010421153645,3.4697232796097848,825.9066136640871,1.0479964096341616,766.4767880572923,-0.0009846787477068102
Japanese,0.1,1.420229325529844,0.009925676288730756,0.019851352577461512,4.20627802690583,12,50.47533632286996,207.53590073208125,19.625533081331252,1.8530248435925307,44.31905195625841,2.761471138995818,143.59131569449158,0.6055969384519315,157.06056440921128,-0.0009846787477068102
Other Civilizations,0.1,1.1485814871393145,0.0030987890106644045,0.006197578021328809,4.980769230769231,21,104.59615384615385,425.65873576267256,14.832020722782627,2.6059372124861775,39.33318459464351,5.028239672680484,371.4935304452464,1.5240459763750793,321.0625819165187,-0.0009846787477068102
Other Western,0.1,0.8723467459182142,0.0020012390516512824,0.004002478103302565,3.811320754716981,15,57.16981132075472,514.1950480281075,6.421023126171906,1.7841229489989145,70.95425923130848,2.439235551304114,436.8197656706271,0.6859921116416723,457.0252367073528,-0.0009846787477068102
Sinic,0.1,2.3836829463902283,0.0014040879746062274,0.0028081759492124547,4.681003584229391,24,112.34408602150538,1784.2484772975683,24.276448579050836,6.049726100784396,61.716445132336226,8.536932911939708,1698.2555835861813,3.506352966528544,1671.904391276063,-0.0009846787477068102
United States,0.1,2.8304006158559254,0.0039562805261539324,0.007912561052307865,4.7319034852546915,28,132.49329758713137,802.502178843146,16.490133420029906,2.997459724565642,69.88106539750399,13.632777065379754,716.1309800256121,12.790993967104706,670.0088812560147,-0.0009846787477068102
